"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"MCP73871";;;
2;"C17,C18,C15,C16";"C_0805_2012Metric";4;"0.1U";;;
3;"R30,R2,R18,R25,R31,R32,R1";"R_0805_2012Metric";7;"10K";;;
4;"R13";"R_0805_2012Metric";1;"1K";;;
5;"R6";"R_0805_2012Metric";1;"20K";;;
6;"LED4";"LEDC2012X120N";1;"POWER";;;
7;"R5";"R_0805_2012Metric";1;"2K";;;
8;"C13,C4,C10,C6";"CAPMP3216X180N";4;"10u";;;
9;"LED1,LED5";"LEDC2012X120N";2;"GREEN";;;
10;"C1,C5,C14,C2,C8,C19,C11,C20,C12,C3";"C_0805_2012Metric";10;"0.1u";;;
11;"R15,R8,R10,R9,R14,R7";"R_0805_2012Metric";6;"470";;;
12;"U6";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
13;"TP2";"TestPoint_Pad_D1.0mm";1;"Test MISO_DO";;;
14;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
15;"R23";"R_0805_2012Metric";1;"R";;;
16;"R20,R19,R16,R17";"R_0805_2012Metric";4;"50";;;
17;"C21,C7";"C_0805_2012Metric";2;"1u";;;
18;"R26,R29,R27,R28";"R_0805_2012Metric";4;"1M";;;
19;"R21,R22";"R_0805_2012Metric";2;"4K7";;;
20;"U7";"SOT65P210X110-5N";1;"MAX4466EXK";;;
21;"LED3";"LEDC2012X120N";1;"BLUE";;;
22;"LED6,LED2";"LEDC2012X120N";2;"RED";;;
23;"MK1";"CUI_CMC-5042PF-AC";1;"CMC-5042PF-AC";;;
24;"R3,R4";"R_0805_2012Metric";2;"5k1";;;
25;"C9";"CAPMP3216X180N";1;"4F7u";;;
26;"J1";"BELFUSE_SS-52400-002";1;"SS-52400-002";;;
27;"Q2,Q3";"SOT-23";2;"BC817";;;
28;"C22";"C_0805_2012Metric";1;"10n";;;
29;"TP1";"TestPoint_Pad_D1.0mm";1;"Test MOSI_DI";;;
30;"TP5";"TestPoint_Pad_D1.0mm";1;"Test CS";;;
31;"TP4";"TestPoint_Pad_D1.0mm";1;"Test CS_SD";;;
32;"U2";"MODULE_ESP32-C3-WROOM-02-H4";1;"ESP32-C3-WROOM-02-H4";;;
33;"BOOT";"SW_USLPT2819DT2TR";1;"BOOT";;;
34;"TP3";"TestPoint_Pad_D1.0mm";1;"Test SCLK";;;
35;"U3";"CP2102NA02GQFN20";1;"CP2102N-Axx-xQFN20";;;
36;"R11";"R_0805_2012Metric";1;"22k1";;;
37;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
38;"J2";"JST_B2B-PH-SM4-TB";1;"B2B-PH-SM4-TB";;;
39;"VR1";"VREG_LM1117MPX-3.3_NOPB";1;"LM1117MPX-3.3_NOPB";;;
40;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
41;"R24";"R_0805_2012Metric";1;"100K";;;
42;"J3";"AMPHENOL_GSD090012SEU";1;"GSD090012SEU";;;
43;"F1";"FUSC3226X100N";1;"0ZCH0110AF2E";;;
44;"Q1";"TRANS_TEMT6000X01";1;"TEMT6000X01";;;
45;"U5";"SOIC127P790X216-8N";1;"W25Q32JVSSIQ";;;
46;"EN";"SW_USLPT2819DT2TR";1;"RESET";;;
