"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"F2";"Fuse_Bourns_MF-RG300";1;"Polyfuse_1A";;;
2;"U3";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
3;"D2";"LED_0603_1608Metric";1;"YELLOW";;;
4;"R11,R12";"R_0402_1005Metric";2;"4K7";;;
5;"U2";"SOT-666";1;"USBLC6-2P6";;;
6;"C9,C6,C15,C4,C11,C8";"C_0805_2012Metric";6;"22u";;;
7;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
8;"F1";"Fuse_Littelfuse-LVR200";1;"Fuse";;;
9;"U6";"TO-252-3_TabPin2";1;"LM1117DT-3.3";;;
10;"R3,R7,R13,R20";"R_0402_1005Metric";4;"10K";;;
11;"C13,C12,C16,C10,C2,C14,C5";"C_0402_1005Metric";7;"100n";;;
12;"K1";"Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm";1;"RT314A05";;;
13;"Q1";"SOT-363_SC-70-6";1;"UMH3N";;;
14;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"1000u/25V";;;
15;"R10,R8,R6,R14,R9,R15";"R_0402_1005Metric";6;"1K";;;
16;"R4,R5,R18,R19,R17,R16";"R_0402_1005Metric";6;"22R";;;
17;"SW1";"SW_SPST_PTS810";1;"SW_SPST";;;
18;"D1";"D_MiniMELF";1;"LL4148";;;
19;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
20;"U5";"DIP-20_W7.62mm";1;"74AHCT245";;;
21;"J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04";;;
22;"D3";"LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100";1;"LED_RGBA";;;
23;"J3";"TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal";1;"Screw_Terminal_01x03";;;
24;"FB1";"L_0603_1608Metric";1;"BLM21PG221";;;
25;"C3";"C_0805_2012Metric";1;"4u7";;;
26;"J5";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
27;"Q2";"SOT-23";1;"BC817";;;
28;"R1,R2";"R_0402_1005Metric";2;"5K1";;;
29;"J4";"TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal";1;"Screw_Terminal_01x08";;;
30;"D4";"LED_0603_1608Metric";1;"3.3V INDICATOR";;;
31;"J6";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
32;"U4";"DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm";1;"Si7021-A20";;;
